Ticker;Exchange;Name;Months;Number of Contracts;Quandl Code
Z;LIFFE;FTSE 100 Index;HMUZ;2;CHRIS/LIFFE_Z
AP;ASX;SPI 200 Index;HMUZ;2;CHRIS/ASX_AP
OI;ASX;3-month Overnight Index Swap;HMUZ;4;CHRIS/ASX_OI
UB;ASX;Feed Barley;FHKNUX;7;CHRIS/ASX_UB
GV;CBOE;Gold VIX;FGHJKMNQUVXZ;2;CHRIS/CBOE_GV
OV;CBOE;Crude Oil ETF VIX;FGHJKMNQUVXZ;2;CHRIS/CBOE_OV
VN;CBOE;NASDAQ 100 VIX;FGHJKMNQUVXZ;2;CHRIS/CBOE_VN
VX;CBOE;S&P 500 VIX;FGHJKMNQUVXZ;9;CHRIS/CBOE_VX
ABY;CME;WTI-Brent Bullet;FGHJKMNQUVXZ;4;CHRIS/CME_ABY
AD;CME;Australian Dollar;HMUZ;2;CHRIS/CME_AD
AW;CME;Dow Jones-UBS Commodity Index;HMUZ;2;CHRIS/CME_AW
BB;CME;Brent Crude Oil;FGHJKMNQUVXZ;5;CHRIS/CME_BB
BK;CME;WTI-Brent Financial;FGHJKMNQUVXZ;34;CHRIS/CME_BK
BP;CME;British Pound;HMUZ;2;CHRIS/CME_BP
BR;CME;Brazilian Real;FGHJKMNQUVXZ;4;CHRIS/CME_BR
BY;CME;British Pound/Japanese Yen;HMUZ;2;CHRIS/CME_BY
C;CME;Corn;HKNUZ;11;CHRIS/CME_C
CL;CME;WTI Crude Oil;FGHJKMNQUVXZ;38;CHRIS/CME_CL
CPO;CME;Crude Palm Oil;FHKMNQUX;2;CHRIS/CME_CPO
ED;CME;3-month Eurodollar;HJKMNQUZ;37;CHRIS/CME_ED
EH;CME;Ethanol;FGHJKMNQUVXZ;4;CHRIS/CME_EH
ES;CME;E-mini S&P 500 Index;HMUZ;4;CHRIS/CME_ES
FC;CME;Feeder Cattle;FHJKQUVX;7;CHRIS/CME_FC
GC;CME;Gold;GHJKMQVZ;16;CHRIS/CME_GC
HG;CME;Copper;FGHJKMNQUVXZ;11;CHRIS/CME_HG
HO;CME;Heating Oil;FGHJKMNQUVXZ;17;CHRIS/CME_HO
LB;CME;Lumber;FHKNUX;2;CHRIS/CME_LB
LC;CME;Live Cattle;GJMQVZ;7;CHRIS/CME_LC
LN;CME;Lean Hogs;GJKMNQVZ;10;CHRIS/CME_LN
ND;CME;NASDAQ 100;HMUZ;2;CHRIS/CME_ND
NG;CME;Natural Gas;FGHJKMNQUVXZ;43;CHRIS/CME_NG
PA;CME;Palladium;HJKMUZ;2;CHRIS/CME_PA
S;CME;Soybeans;FHKNQUX;10;CHRIS/CME_S
TY;CME;10 Year Treasury Note;HMUZ;2;CHRIS/CME_TY
W;CME;Wheat;HKNUZ;7;CHRIS/CME_W
FDAX;EUREX;DAX;HMUZ;3;CHRIS/EUREX_FDAX
FESX;EUREX;EURO STOXX 50 Index;HMUZ;3;CHRIS/EUREX_FESX
FFOX;EUREX;OMXH25 Index;HMUZ;2;CHRIS/EUREX_FFOX
FHOG;EUREX;Hogs;FGHJKMNQUVXZ;2;CHRIS/EUREX_FHOG
FMWO;EUREX;MSCI World Index;HMUZ;2;CHRIS/EUREX_FMWO
CC;ICE;Cocoa;HKNUZ;6;CHRIS/ICE_CC
BW;ICE;Barley;HKNVZ;2;CHRIS/ICE_BW
FCE;LIFFE;CAC40 Index;FGHJKMNQUVXZ;3;CHRIS/LIFFE_FCE
TPI;LIFFE;TOPIX Index;HMUZ;2;CHRIS/LIFFE_TPI
RC;LIFFE;Coffee;FHKNUX;6;CHRIS/LIFFE_RC
Z;LIFFE;FTSE 100 Index;HMUZ;2;CHRIS/LIFFE_Z
